ID,Dengue,BI,Tave,Humid,Precp
Hualien,30,0.467803618,23.72310078,77.32131783,5.481886305
Pingtung,1178,4.13630491,25.82372093,74.07245478,5.81878553
Taoyuan,312,1.056614987,23.0455814,74.72005168,5.558822442
Taipei,558,1.376382429,23.54751938,72.74922481,6.733591731
Chiayi City,42,0.162222222,23.93550388,78.12710594,5.391808786
Chiayi County,59,0.162222222,23.93550388,78.12710594,5.391808786 
New Taipei,533,0.802842377,23.27994832,73.04751938,6.93126615
Miaoli,55,2.875788114,22.68809891,79.44726098,4.263591731
Nantou,53,1.212919897,19.41899225,81.93462532,6.980775194
Penghu,43,1.445529716,23.79555556,79.17614987,3.381498708
Hsinchu City,64,0.700129199,23.0920155,76.18950904,4.981136951
Hsinchu County,90,0.700129199,23.0920155,76.18950904,4.981136951
Yilan,31,0.403178295,22.88927649,80.58901809,7.732351421
Taichung,486,1.459147287,23.90423773,74.05945736,4.814521964
Tainan,23859,2.380284238,24.71490956,74.84839793,5.131136951
Kaohsiung,35972,3.924470284,25.77741602,73.83074935,5.743462532
Changhua,141,1.231912145,23.06346253,81.08679587,4.522997416
Yulin,68,0.474521964,21.35403101,83.19657069,5.977932817
Taitung,44,1.550465116,24.76431525,75.77423773,5.054677003
Keelung,20,0.58023,22.8671,76.738,9.968
